DUC Interpolation FIR       cos(wn)   sin(wn)         DUC Mixer  DUC Mixer  DDC Mixer  DDC Mixer  DDC halfband 1  DDC halfband 2  DDC SRRC
  -18                      131032       3216         -4          0        -16          0       -269             620               2
   -8                      123944      42640         -2         -1         -9         -1        -93             145               0
    4                      105280      78080          1          1          6          1        144            -268              -1
   16                       76784     106232          2          3         14          1        400            -340               0
   28                       41112     124456          2          7         29          1        621            -121               0
   38                        1608     131064          0          9         36          0        740             135               0
   47                      -38048     125432         -3         11         46         -1        707             213               0
   54                      -74152     108080         -8         11         54          1        500              88               0
   59                     -103328      80640        -12          9         60          1        129             -94               0
   60                     -122856      45664        -14          5         59          1       -354            -173               0
   58                     -130912       6432        -14          1         56         -1       -865             -98               0
   52                     -126744     -33408        -13         -3         53         -2      -1296              45               0
   43                     -110736     -70120         -9         -6         43          1      -1539             135               0
   30                      -84392    -100296         -5         -6         31          0      -1504             111               0
   15                      -50160    -121096         -1         -3         13          1      -1141              13               0
   -2                      -11248    -130592          0          0          0          0       -461             -77               0
  -21                       28720    -127888         -1          5        -20          0        451             -95               0
  -40                       66000    -113240         -5          9        -41          1       1460             -39               0
  -58                       97120     -88024        -11         10        -59          0       2376              30               0
  -74                      119168     -54584        -17          8        -75          1       2992              60               0
  -86                      130088     -16048        -21          3        -85          2       3132              39               0
  -94                      128856      23992        -23         -4        -93          1       2663              -7               0
  -98                      115592      61784        -22        -12       -100         -1       1561             -36               0
  -96                       91536      93816        -17        -17        -96          1        -85             -28               0
  -89                       58928     117080        -10        -20        -89          0      -2074               2               0
  -76                       20824     129408         -3        -19        -77          0      -4084              24               0
  -59                      -19232     129656          2        -15        -61          1      -5743              23               0
  -38                      -57488     117792          4         -9        -39          1      -6648              12               0
  -14                      -90376      94928          2         -3        -14          2      -6444               2               0
   12                     -114832      63200         -3          1         12          2      -4881               0               0
   39                     -128552      25568        -10          2         41          0      -1859               0               0
   66                     -130272     -14448        -16         -2         64          1       2539               0               0
   91                     -119824     -53112        -21         -9         91         -1       8035               0               0
  112                      -98192     -86824        -21        -19        113          1      14188               0               0
  127                      -67384    -112424        -16        -27        126          1      20432               0               0
  136                      -30288    -127528         -8        -33        136         -1      26146               0               0
  139                        9640    -130720          3        -35        141          2      30735               0               0
  134                       48672    -121704         12        -31        133         -1      33706               0               0
  122                       83152    -101320         19        -24        122         -2      34736               0               0
  102                      109864     -71480         21        -14        101         -1      33707               0               0
   76                      126328     -34960         18         -5         75          0      30737               0               0
   44                      130984       4824         11          0         44         -2      26147               0               0
    9                      123408      44160          2          1          9          1      20433               0               0
  -28                      104312      79368         -6         -4        -29          2      14188               0               0
  -64                       75472     107160         -9        -13        -63         -1       8035               0               0
  -98                       39584     124952         -7        -23        -96         -1       2538               0               0
 -128                           0     131072          0        -32       -128          0      -1860               0               0
 -152                      -39584     124952         11        -36       -151          2      -4880               0               0
 -167                      -75472     107160         24        -34       -166          0      -6444               0               0
 -172                     -104312      79368         34        -26       -171          0      -6648               0               0
 -167                     -123408      44160         39        -14       -166          0      -5745               0               0
 -152                     -130984       4824         38         -1       -152         -2      -4084               0               0
 -127                     -126328     -34960         31          8       -128          2      -2074               0               0
  -94                     -109864     -71480         20         13        -95          0        -87               0               0
  -54                      -83152    -101320          9         10        -54          2       1559               0               0
   -8                      -48672    -121704          1          2         -9          1       2663               0               0
   40                       -9640    -130720         -1        -10         40         -1       3131               0               0
   88                       30288    -127528          5        -21         86          0       2994               0               0
  131                       67384    -112424         17        -28        131          1       2376               0               0
  168                       98192     -86824         31        -28        167         -2       1459               0               0
  196                      119824     -53112         45        -20        197          0        452               0               0
  212                      130272     -14448         53         -6        213          0       -463               0               0
  214                      128552      25568         52         10        212         -1      -1141               0               0
  202                      114832      63200         44         24        200         -1      -1505               0               0
  176                       90376      94928         30         32        175          1      -1541               0               0
  136                       57488     117792         15         31        138          0      -1297               0               0
   83                       19232     129656          3         21         85          0       -865               0               0
   20                      -20824     129408         -1          5         20          1       -354               0               0
  -49                      -58928     117080          6        -11        -50         -2        127               0               0
 -120                      -91536      93816         21        -21       -119         -1        499               0               0
 -189                     -115592      61784         42        -22       -190         -2        708               0               0
 -252                     -128856      23992         62        -12       -253          2        740               0               0
 -304                     -130088     -16048         75          9       -302          1        620               0               0
 -340                     -119168     -54584         77         35       -338          1        401               0               0
 -357                      -97120     -88024         66         60       -357         -1        145               0               0
 -352                      -66000    -113240         44         76       -351         -1        -93               0               0
 -322                      -28720    -127888         18         79       -324          1       -268               0               0
 -268                       11248    -130592         -6         67       -269         -1       -352               0               0
 -191                       50160    -121096        -18         44       -190          1       -340               0               0
  -94                       84392    -100296        -15         18        -94          0       -251               0               0
   19                      110736     -70120          4         -3         20         -2       -122               0               0
  144                      126744     -33408         35         -9        145          1         18               0               0
  274                      130912       6432         68          3        272         -1        136               0               0
  402                      122856      45664         94         35        401          0        202               0               0
  520                      103328      80640        102         80        519          1        213               0               0
  620                       74152     108080         88        128        621         -1        169               0               0
  696                       38048     125432         51        167        698         -1         89               0               0
  740                       -1608     131064         -2        185        740         -1         -8               0               0
  745                      -41112     124456        -58        177        745         -2        -94               0               0
  708                      -76784     106232       -104        143        707          2       -151               0               0
  626                     -105280      78080       -126         93        626          1       -174               0               0
  500                     -123944      42640       -118         41        500         -2       -152               0               0
  332                     -131032       3216        -83          2        332          0        -96               0               0
  128                     -125888     -36504        -31         -9        129          0        -28               0               0
 -104                     -108984     -72816         22         14       -104          2         44               0               0
 -354                      -81904    -102336         55         69       -353         -1        103               0               0
 -612                      -47176    -122288         55        143       -613         -1        135               0               0
 -864                       -8040    -130824         13        216       -866         -1        136               0               0
-1097                       31848    -127144        -67        266      -1097         -1        111               0               0
-1296                       68760    -111592       -170        276      -1297          0         66               0               0
-1448                       99248     -85616       -274        236      -1446         -1         13               0               0
-1540                      120472     -51640       -354        152      -1541          1        -39               0               0
-1561                      130440     -12848       -388         38      -1559         -1        -77               0               0
-1504                      128232      27144       -368        -78      -1505          0        -97               0               0
-1364                      114048      64608       -297       -168      -1365          1        -95               0               0
-1140                       89208      96032       -194       -209      -1141          0        -72               0               0
 -837                       56040     118488        -89       -189       -836         -1        -40               0               0
 -462                       17640     129880        -16       -114       -460          2         -1               0               0
  -27                      -22408     129144          1         -7        -28          1         30               0               0
  452                      -60360     116344        -52        100        451          0         52               0               0
  955                      -92680      92680       -169        169        956          0         60               0               0
 1460                     -116344      60360       -324        168       1460          0         55               0               0
 1942                     -129144      22408       -478         83       1941          0         39               0               0
 2376                     -129880     -17640       -589        -80       2378          0         17               0               0
 2735                     -118488     -56040       -618       -292       2734         -1         -8               0               0
 2994                      -96032     -89208       -548       -509       2992          0        -25               0               0
 3132                      -64608    -114048       -386       -681       3131         -1        -37               0               0
 3130                      -27144    -128232       -162       -766       3132          1        -35               0               0
 2977                       12848    -130440         73       -741       2978          0        -29               0               0
 2664                       51640    -120472        262       -612       2663         -1        -14               0               0
 2189                       85616     -99248        357       -414       2187          0          1               0               0
 1560                      111592     -68760        332       -205       1561         -1         17               0               0
  795                      127144     -31848        193        -48        796          1         24               0               0
  -86                      130824       8040        -21         -1        -84          1         25               0               0
-1055                      122288      47176       -246        -95      -1055          0         24               0               0
-2074                      102336      81904       -405       -324      -2075          0         17               0               0
-3098                       72816     108984       -430       -644      -3097         -1         13               0               0
-4084                       36504     125888       -284       -981      -4085         -2          6               0               0
-4983                       -3216     131032         31      -1245      -4982         -2          1               0               0
-5744                      -42640     123944        467      -1358      -5744          1          0               0               0
-6314                      -78080     105280        940      -1268      -6314          1          0               0               0
-6648                     -106232      76784       1347       -974      -6649          1          0               0               0
-6704                     -124456      41112       1591       -526      -6703          2          0               0               0
-6446                     -131064       1608       1611        -20      -6444          1          0               0               0
-5844                     -125432     -38048       1398        424      -5844          0          0               0               0
-4882                     -108080     -74152       1006        690      -4880          1          0               0               0
-3553                      -80640    -103328        546        700      -3551         -1          0               0               0
-1860                      -45664    -122856        162        436      -1860          0          0               0               0
  180                       -6432    -130912         -2        -45        180          1          0               0               0
 2538                       33408    -126744        162       -614       2540          1          0               0               0
 5174                       70120    -110736        692      -1093       5175          0          0               0               0
 8036                      100296     -84392       1537      -1293       8034          1          0               0               0
11063                      121096     -50160       2555      -1058      11062          1          0               0               0
14188                      130592     -11248       3534       -304      14188          1          0               0               0
17337                      127888      28720       4229        950      17338          1          0               0               0
20432                      113240      66000       4413       2572      20431          0          0               0               0
23394                       88024      97120       3928       4333      23394         -2          0               0               0
26146                       54584     119168       2722       5943      26147          0          0               0               0
28616                       16048     130088        876       7100      28615         -1          0               0               0
30736                      -23992     128856      -1406       7554      30735         -2          0               0               0
32449                      -61784     115592      -3824       7154      32448          0          0               0               0
33708                      -93816      91536      -6031       5885      33706         -1          0               0               0
34477                     -117080      58928      -7699       3875      34477          1          0               0               0
34736                     -129408      20824      -8574       1380      34737         -2          0               0               0
34477                     -129656     -19232      -8526      -1265      34477          1          0               0               0
33708                     -117792     -57488      -7573      -3696      33707         -1          0               0               0
32449                      -94928     -90376      -5875      -5594      32449          2          0               0               0
30736                      -63200    -114832      -3705      -6732      30737          1          0               0               0
28616                      -25568    -128552      -1396      -7017      28618         -1          0               0               0
26146                       14448    -130272        720      -6497      26147         -2          0               0               0
23394                       53112    -119824       2370      -5347      23395         -1          0               0               0
20432                       86824     -98192       3384      -3827      20434          0          0               0               0
17337                      112424     -67384       3718      -2228      17338          2          0               0               0
14188                      127528     -30288       3451       -820      14188         -2          0               0               0
11063                      130720       9640       2758        203      11062         -2          0               0               0
 8036                      121704      48672       1865        746       8035          1          0               0               0
 5174                      101320      83152       1000        821       5175          1          0               0               0
 2538                       71480     109864        346        532       2538          0          0               0               0
